County,State,2010 Census,Base,2019-Pop
Whiteside,Illinois,58498,58501,55175
Will,Illinois,677560,677580,690743
Williamson,Illinois,66357,66365,66597
Winnebago,Illinois,295266,295264,282572
Woodford,Illinois,38664,38656,38459
Adams,Indiana,34387,34384,35777
Allen,Indiana,355329,355339,379299
Bartholomew,Indiana,76794,76783,83779
Benton,Indiana,8854,8836,8748
Blackford,Indiana,12766,12766,11758
Boone,Indiana,56640,56641,67843
Brown,Indiana,15242,15244,15092
Carroll,Indiana,20155,20160,20257
Cass,Indiana,38966,38970,37689
Clark,Indiana,110232,110222,118302
Clay,Indiana,26890,26888,26225
Clinton,Indiana,33224,33219,32399
Crawford,Indiana,10713,10711,10577
Daviess,Indiana,31648,31654,33351
Dearborn,Indiana,50047,50027,49458
Decatur,Indiana,25740,25739,26559
DeKalb,Indiana,42223,42255,43475
Delaware,Indiana,117671,117670,114135
Dubois,Indiana,41889,41886,42736
Elkhart,Indiana,197559,197569,206341
Fayette,Indiana,24277,24301,23102
Floyd,Indiana,74578,74579,78522
Fountain,Indiana,17240,17240,16346
Franklin,Indiana,23087,23098,22758
Fulton,Indiana,20836,20856,19974
Gibson,Indiana,33503,33503,33659
Grant,Indiana,70061,70063,65769
Greene,Indiana,33165,33172,31922
Hamilton,Indiana,274569,274557,338011
Hancock,Indiana,70002,70060,78168
